                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4783,                 2.9177,                 1.6159,                0.62819,                0.75115,                0.74665,                0.39045,                  1.531,                 2.5797,                 1.7865,             0.00033043,             0.00033043,             0.00033043
                      2,                 1.4761,                 2.0437,                   1.52,                0.55328,                0.57162,                0.61923,                0.29324,                  1.642,                 2.5179,                 1.8907,             0.00063091,             0.00063091,             0.00063091
                      3,                 1.4549,                 1.7314,                 1.4785,                0.64074,                0.83679,                0.80532,                0.40057,                 1.6889,                 2.0611,                 1.9366,             0.00089839,             0.00089839,             0.00089839
                      4,                 1.4699,                 1.5215,                 1.4697,                0.65416,                0.84685,                0.86193,                0.47006,                 1.5323,                 1.5583,                 1.7526,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4404,                 1.3706,                 1.4497,                0.80284,                0.81976,                0.86125,                0.47716,                 1.5287,                 1.4574,                 1.7566,               0.000802,               0.000802,               0.000802
                      6,                 1.4103,                 1.2662,                 1.4424,                0.90103,                0.87745,                 0.8929,                0.50369,                 1.4876,                 1.0507,                 1.7169,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.4117,                 1.1574,                  1.429,                0.79198,                0.90076,                0.87265,                0.49156,                 1.4713,                 1.0701,                 1.6902,               0.000703,               0.000703,               0.000703
                      8,                 1.4035,                 1.1236,                 1.4409,                0.93624,                0.91363,                0.94373,                0.54294,                 1.4655,                0.84262,                 1.6792,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.3817,                 1.0649,                 1.4033,                0.82577,                0.84775,                0.88169,                0.47981,                 1.5625,                 1.0693,                 1.7556,               0.000604,               0.000604,               0.000604
                     10,                 1.3462,                0.99598,                 1.3823,                0.85765,                0.93304,                0.93393,                0.55582,                 1.4307,                0.80315,                 1.6554,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.3423,                0.77121,                 1.5553,                0.91045,                0.90761,                0.91922,                0.52289,                 1.4705,                0.85656,                 1.6906,               0.000505,               0.000505,               0.000505
                     12,                 1.3396,                0.72236,                 1.5491,                0.90666,                0.94492,                0.95056,                0.55431,                 1.4466,                0.71804,                 1.6613,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.3057,                0.69989,                 1.5154,                0.93545,                0.94581,                0.96175,                0.57559,                  1.422,                0.65794,                 1.6389,               0.000406,               0.000406,               0.000406
                     14,                 1.3146,                0.64772,                  1.521,                 0.9082,                 0.9352,                0.95144,                0.56453,                 1.4236,                 0.6939,                 1.6472,              0.0003565,              0.0003565,              0.0003565
                     15,                  1.292,                 0.6249,                 1.5079,                0.94583,                0.94411,                  0.962,                0.57442,                 1.4081,                0.62478,                  1.629,               0.000307,               0.000307,               0.000307
                     16,                 1.2794,                0.58626,                 1.4998,                0.93603,                0.95901,                0.95919,                0.56603,                 1.4017,                0.59373,                 1.6323,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.2699,                0.56106,                 1.4894,                0.95656,                0.95205,                0.96701,                0.58871,                 1.3832,                0.56409,                 1.6152,               0.000208,               0.000208,               0.000208
                     18,                 1.2553,                0.54432,                 1.4747,                0.95851,                0.96601,                0.97069,                0.59505,                 1.3656,                0.54814,                 1.5997,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2313,                0.52602,                 1.4615,                0.95975,                0.95445,                0.96989,                0.59487,                 1.3667,                0.56432,                 1.5875,               0.000109,               0.000109,               0.000109
                     20,                 1.2303,                0.52286,                 1.4528,                0.95567,                0.95461,                0.96811,                0.59776,                 1.3669,                0.55218,                 1.5974,               5.95e-05,               5.95e-05,               5.95e-05
